Nombre,Slug,Item ID,Especialidad,Sitio web,Instagram,Facebook,Linkedln
Ginelda Veronica Montalván Rodríguez,ginelda-veronica-montalvan-rodriguez,6a54d268b662e7aa3840f54f,cirugia-plastica-y-reconstructiva,,,https://www.facebook.com/dragineldamontalvan/,
Aurelio Amadeo Maldonado Aguilar,aurelio-amadeo-maldonado-aguilar,6a54d1fd1f210111b03d0607,otorrinolaringologia,,,,https://ec.linkedin.com/in/dr-aurelio-maldonado-aguilar-5a580086
Cecibel Yadira Cevallos Agurto,cecibel-yadira-cevallos-agurto,6a54d208e22eae1436a55175,cirugia-general,,,,https://ec.linkedin.com/in/cecibel-cevallos-a-830a339a
Ana Cristina Moncayo Torres,ana-cristina-moncayo-torres,6a54d217e0a9a0910c3d17e8,pediatria,,https://instagram.com/dracristinamoncayot,,
Javier Andrés Vega Morejón,javier-andres-vega-morejon,6a54d1fb972ac4970d68fd61,otorrinolaringologia,,https://www.instagram.com/drandresvega/,https://www.facebook.com/orlecuador/,https://www.linkedin.com/in/andr%C3%A9s-vega-31280331/
Pablo Xavier Machuca Chiriboga,pablo-xavier-machuca-chiriboga,6a54d3034164caab75a53584,cirugia-general,,,https://www.facebook.com/drpablomachuca/,
María de Lourdes Monsalve Vega,maria-de-lourdes-monsalve-vega,6a567e492f69e5dfe9643e84,nutricion,,https://www.instagram.com/lulymonsalvenutricionista/,https://www.facebook.com/lulymonsalvenutricionista/,
Julia Marcela Quizhpi Lazo,julia-marcela-quizhpi-lazo,6a54d2bd95f8b37799008b08,cirugia-general,,https://www.instagram.com/dra.marcela_quizhpi_cirujana/,,
Julio Cesar Molina Molina,julio-cesar-molina-molina,6a54d2add6acf999f462bd4d,cirugia-general,,,,https://co.linkedin.com/in/julio-molina-20456935
Marcos Fernando Molina Matute,marcos-fernando-molina-matute,6a54d2c26709f408a2f93c22,infectologia,,https://www.instagram.com/doctormarcosmolina/,https://www.facebook.com/doctormarcosmolina/,
Christian Ramiro Machuca Dávila,christian-ramiro-machuca-davila,6a54d20fa06b16ffe13c1691,anestesiologia,https://clinicasantaana.com.ec/en/doctor/machuca-davila-christian-ramiro/,,,
Santiago José Reinoso Quezada,santiago-jose-reinoso-quezada,6a54d34044e8daf778c5e778,cirugia-maxilofacial,https://www.researchgate.net/profile/Santiago-Reinoso-4,,,
Juan José Aguilar,juan-jose-aguilar,6a54d2a3167cf6172578b122,cirugia-pediatrica,https://www.doctoranytime.ec/d/cirujano-pediatrico/juan-jose-aguilar-a,,,
Jorge Edmundo Ugalde Puyol,jorge-edmundo-ugalde-puyol,6a54d28fd7ced48cb5552d4c,anatomia-patologica,https://www.labpato.com/,,,
Pierina León A.,pierina-leon-a,6a54d3166056f575081ced5a,reumatologia,https://masquemedicos.ec/reumatologo_cuenca/pierina-leon-astudillo/,,,
Andrés Cárdenas H.,andres-cardenas-h,6a54d1f6338bfedff0c9d53d,medicina-critica-e-intensiva,,,,
Maria Belén Cabrera Ledesma,maria-belen-cabrera-ledesma,6a54d200dc5aabbe1f5f5a14,nutricion,,,,
Carlos Orlando Sisalima Zuña,carlos-orlando-sisalima-zuna,6a54d2035b903a2fa50415f5,gastroenterologia,,,,
Xavier Segundo Abad Cárdenas,xavier-segundo-abad-cardenas,6a54d35013dd3bf3f89d44e7,urologia,,,,
Andrea Susana Astudillo Carrera,andrea-susana-astudillo-carrera,6a54d1d6b2d9486b374d2c5c,otorrinolaringologia,,,,
Juan Pablo Arias Cortez,juan-pablo-arias-cortez,6a7f8791b21c62bc60843272,otorrinolaringologia,,,,
